id	charter	title1	black	hisp	white	locale	type	studentteacherratio	students	shooting
190897000539	FALSE		0.2244897959	0.09329446064	0.5422740525		Elementary	13.4	343	FALSE
402277001208	FALSE		0.250764526	0.1100917431	0.4525993884		Elementary	18.13	327	FALSE
200528000986	FALSE	TRUE	0.002762430939	0.09392265193	0.8591160221	Rural	Middle	14.87	362	FALSE
280288000554	FALSE	TRUE	0.9182389937	0.008385744235	0.06289308176	Town	Middle	16.31	477	FALSE
210198001524		FALSE	0.3529411765	0	0.4117647059	Town	High	4.25	17	FALSE
160213000378	FALSE	TRUE	0.001063829787	0.1276595745	0.8361702128	Suburb	Middle	21.32	940	FALSE
100130000116	FALSE	TRUE	0.72	0.08	0.08	Urban	High	8.33	25	FALSE
530771001135	FALSE	FALSE	0.06822612086	0.1169590643	0.6062378168	Urban	Elementary	16.16	513	FALSE
250861001374	FALSE	FALSE	0.05912476723	0.08938547486	0.6489757914	Urban	High	11.52	2148	FALSE
540120000936		FALSE	0.009487666034	0.01518026565	0.944971537	Suburb	Elementary	14.24	527	FALSE
251113001814	FALSE	TRUE	0.09540636042	0.7561837456	0.1307420495	Urban	Elementary	13.48	283	FALSE
250222000103	FALSE	TRUE	0.02325581395	0.07973421927	0.8106312292	Suburb	Elementary	16.79	301	FALSE
250900001209	FALSE	TRUE	0.02025316456	0.03291139241	0.8683544304	Suburb	Elementary	13.82	395	FALSE
280219000377	FALSE	TRUE	0.9548447789	0.0272812794	0.01128880527	Urban	High	16.66	1063	TRUE
401059029716	FALSE		0.2170022371	0.1051454139	0.4395973154		Middle	17.33	894	FALSE
450213000432	FALSE	TRUE	0.9447592068	0.008498583569	0.0283286119	Urban	Middle	12.93	706	FALSE
250450000605	FALSE	TRUE	0.01208981002	0.09153713299	0.8100172712	Suburb	Elementary	13.85	579	FALSE
300387000870			0.01041666667	0.1028645833	0.7369791667		Middle	14.38	768	FALSE
341143000644	FALSE		0.005050505051	0.3737373737	0.5656565657		Middle	12.45	396	FALSE
